eventID,eventDate,occurrenceID,basisOfRecord,recordNumber,catalogNumber,organismName,organismID,scientificName,lifeStage,sex,individualCount,taxonID,kingdom,phylum,family,genus,speciesEpithet,occurrenceStatus,recordedByID
24af764c-ad44-4294-ac2c-3c2f7643e2ac,2017-06-02,27a0ca7a-eb25-47aa-b059-2ceaddf1fd1b,MaterialSample,RH01043,Genlab_ID,Lmu404,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
7e1e7dba-6404-4cec-bf1d-09796e3c3c21,2017-06-02,78615449-f448-4c4b-9eb7-b14b38e12860,MaterialSample,RH01042,Genlab_ID,Lmu112,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
4ce46f84-886e-4fa7-af8a-c2005e414f36,2015-02-16,63c5a861-160b-4f33-9b0c-afb70d9f305e,MaterialSample,40,Genlab_ID,Lmu071,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
948c0900-d210-4b44-babe-c8b7f5247d14,2017-06-02,3517d4ad-90b1-4ef8-aa7a-4fea98c3e7b5,MaterialSample,RH01064,Genlab_ID,Lmu389,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
2196f8de-73a1-4dbc-90a3-8fe69395675b,2017-06-02,1304a00a-6be5-4ad6-b1ad-2bae2d24e228,MaterialSample,RH01063,Genlab_ID,Lmu228,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
2196f8de-73a1-4dbc-90a3-8fe69395675b,2017-06-02,1a01569e-6c99-4f48-a42f-c7cb1561f1a3,MaterialSample,RH01062,Genlab_ID,Lmu405,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
1fd0f4d5-4183-48dc-b54e-2db8c6894e00,2017-06-02,6384b351-d0a9-4686-af36-cd0eaea226bc,MaterialSample,RH01061,Genlab_ID,Lmu398,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
1fd0f4d5-4183-48dc-b54e-2db8c6894e00,2017-06-02,e21bc65e-fb7b-43a0-a74d-b61ff1d7163e,MaterialSample,RH01060,Genlab_ID,Lmu397,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
812dbc92-787c-47cd-8558-b7fe94dfaa21,2017-06-02,bbe07efa-a555-4eae-9809-1f73d2bcfd76,MaterialSample,RH01059,Genlab_ID,Lmu398,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
b9823dd2-bb6b-4d41-9950-a21097aa4b67,2017-06-02,3f278ae4-c0f0-471e-a2a8-c3c771a1ca81,MaterialSample,RH01041,Genlab_ID,Lmu409,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
a3bff5b0-9db9-405c-8e66-13ff763b0c61,2017-06-02,b652373b-593b-4595-aa59-3d82d5451996,MaterialSample,RH01040,Genlab_ID,Lmu401,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
a3bff5b0-9db9-405c-8e66-13ff763b0c61,2017-06-02,153aa247-b98e-48c1-9f56-d723d717ebe8,MaterialSample,RH01039,Genlab_ID,Lmu393,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
a3bff5b0-9db9-405c-8e66-13ff763b0c61,2017-06-02,8fb6b9ed-470e-4d45-ba55-ff3908ac3438,MaterialSample,RH01038,Genlab_ID,Lmu387,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
a1b04998-7d02-4793-800a-cea724383b5c,2017-06-02,5ad49ffc-5dd0-41d5-88f0-79df78aebcf2,MaterialSample,RH01037,Genlab_ID,Lmu396,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
70e9f894-2d67-41ac-a30b-070e00a6e089,2017-06-02,d809c272-deb4-448a-a7cf-358fe62f5a34,MaterialSample,RH01036,Genlab_ID,Lmu407,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
